이름,점수,어근
돈 나가다,-2,돈 나가다
가격 완벽하다,2,가격 완벽하다
추가 결제,-2,추가 결제
추가 금액,-2,추가 금액
추가 붙다,-2,추가 붙다
추가 비용,-2,추가 비용
추가 발생,-2,추가 발생
추가 운임,-2,추가 운임
추가 요금,-2,추가 요금
가격 높다,-1,가격 높다
따로 돈,-2,따로 돈
매우 저렴하다,2,매우 저렴하다
가격 저렴하다,2,가격 저렴하다
더 저렴하다,1,더 저렴하다
금액 들어가다,-2,금액 들어가다
돈 들어가다,-2,돈 들어가다
돈 쓰이다,-2,돈 쓰이다
가격 늘어나다,-1,가격 늘어나다
가격 늘다,-1,가격 늘다
조금 싸다,1,조금 싸다
조금 비싸다,-1,조금 비싸다
조끔 싸다,1,조끔 싸다
조끔 비싸다,-1,조끔 비싸다
쪼금 싸다,1,쪼금 싸다
쪼금 비싸다,-1,쪼금 비싸다
쪼끔 싸다,1,쪼끔 싸다
쪼끔 비싸다,-1,쪼끔 비싸다
다소 비싸다,-1,다소 비싸다
다소 싸다,1,다소 싸다
약간 비싸다,-1,약간 비싸다
약간 싸다,1,약간 싸다
가격 나가다,-2,가격 나가다
원 나가다,-2,원 나가다
원 추가,-2,원 추가
가격 추가,-2,가격 추가
돈 추가,-2,돈 추가
운임 추가,-2,운임 추가
배송비 추가,-2,배송비 추가
값 나가다,-1,값 나가다
요금 추가,-2,요금 추가
높다 가격 ,-1,높다 가격 
비싸다 가격,-1,비싸다 가격
가격 비싸다,-1,가격 비싸다
값 비싸다,-1,값 비싸다
값 싸다,1,값 싸다
싸다 값,1,싸다 값
따로 원,-2,따로 원
원 따로,-2,원 따로
따로 가격 ,-2,따로 가격 
가격 따로,-2,가격 따로
돈 따로,-2,돈 따로
가격 좋다,2,가격 좋다
좋다 가격,2,좋다 가격
가격 부담스럽다,-1,가격 부담스럽다
성비 갑,2,성비 갑
심비 갑,2,심비 갑
합리 가격,2,합리 가격
가격 합리,2,가격 합리
가격 불합리,-1,가격 불합리
불합리 가격,-1,불합리 가격
가격 비합리,-1,가격 비합리
비합리 가격,-1,비합리 가격
비용 들다,-1,비용 들다
가격이 섭섭하다,-1,가격이 섭섭하다
가격 당혹,-1,가격 당혹
가격 아쉽다 ,-1,가격 아쉽다 
가격 무난하다,1,가격 무난하다
가격 고렇다,-1,가격 고렇다
가격 무던하다,1,가격 무던하다
가격 적절하다,1,가격 적절하다
가격 적합하다,2,가격 적합하다
가격 합당하다,2,가격 합당하다
가격 알맞다,1,가격 알맞다
가격 흐믓하다,2,가격 흐믓하다
가격 흡족하다,2,가격 흡족하다
가격 별로다,-2,가격 별로다
가격 그다지,-1,가격 그다지
성비 없다,-2,성비 없다
가격 괜찮다,1,가격 괜찮다
가격 아쉽다,-1,가격 아쉽다
빼다 가격,-1,빼다 가격
가격 별로,-2,가격 별로
가격 적당하다,1,가격 적당하다
가격 만족스럽다,2,가격 만족스럽다
가격 문제,-2,가격 문제
가격 나쁘다,-2,가격 나쁘다
가격 최악,-2,가격 최악
가격 실망,-1,가격 실망
가격 당황,-1,가격 당황
가격 착하다,2,가격 착하다
가격 감안,-1,가격 감안
가격 만족도,2,가격 만족도
돈 높다,-1,돈 높다
돈 저렴하다,2,돈 저렴하다
돈 늘어나다,-1,돈 늘어나다
돈 늘다,-1,돈 늘다
높다 돈 ,-1,높다 돈 
비싸다 돈,-1,비싸다 돈
돈 비싸다,-1,돈 비싸다
따로 돈 ,-2,따로 돈 
돈 좋다,2,돈 좋다
좋다 돈,2,좋다 돈
돈 부담스럽다,-1,돈 부담스럽다
합리 돈,2,합리 돈
돈 합리,2,돈 합리
돈 불합리,-1,돈 불합리
불합리 돈,-1,불합리 돈
돈 비합리,-1,돈 비합리
비합리 돈,-1,비합리 돈
돈이 섭섭하다,-1,돈이 섭섭하다
돈 당혹,-1,돈 당혹
돈 아쉽다 ,-1,돈 아쉽다 
돈 무난하다,1,돈 무난하다
돈 고렇다,-1,돈 고렇다
돈 무던하다,1,돈 무던하다
돈 적절하다,1,돈 적절하다
돈 적합하다,2,돈 적합하다
돈 합당하다,2,돈 합당하다
돈 알맞다,1,돈 알맞다
돈 흐믓하다,2,돈 흐믓하다
돈 흡족하다,2,돈 흡족하다
돈 별로다,-2,돈 별로다
돈 그다지,-1,돈 그다지
돈 괜찮다,1,돈 괜찮다
돈 아쉽다,-1,돈 아쉽다
빼다 돈,-1,빼다 돈
돈 별로,-2,돈 별로
돈 적당하다,1,돈 적당하다
돈 만족스럽다,2,돈 만족스럽다
돈 문제,-2,돈 문제
돈 나쁘다,-2,돈 나쁘다
돈 최악,-2,돈 최악
돈 실망,-1,돈 실망
돈 당황,-1,돈 당황
돈 착하다,2,돈 착하다
돈 감안,-1,돈 감안
돈 만족도,2,돈 만족도
금액 나가다,-2,금액 나가다
금액 높다,-1,금액 높다
따로 금액,-2,따로 금액
금액 저렴하다,2,금액 저렴하다
금액 쓰이다,-2,금액 쓰이다
금액 늘어나다,-1,금액 늘어나다
금액 늘다,-1,금액 늘다
금액 추가,-2,금액 추가
높다 금액 ,-1,높다 금액 
비싸다 금액,-1,비싸다 금액
금액 비싸다,-1,금액 비싸다
따로 금액 ,-2,따로 금액 
금액 따로,-2,금액 따로
금액 좋다,2,금액 좋다
좋다 금액,2,좋다 금액
금액 부담스럽다,-1,금액 부담스럽다
합리 금액,2,합리 금액
금액 합리,2,금액 합리
금액 불합리,-1,금액 불합리
불합리 금액,-1,불합리 금액
금액 비합리,-1,금액 비합리
비합리 금액,-1,비합리 금액
금액이 섭섭하다,-1,금액이 섭섭하다
금액 당혹,-1,금액 당혹
금액 아쉽다 ,-1,금액 아쉽다 
금액 무난하다,1,금액 무난하다
금액 고렇다,-1,금액 고렇다
금액 무던하다,1,금액 무던하다
금액 적절하다,1,금액 적절하다
금액 적합하다,2,금액 적합하다
금액 합당하다,2,금액 합당하다
금액 알맞다,1,금액 알맞다
금액 흐믓하다,2,금액 흐믓하다
금액 흡족하다,2,금액 흡족하다
금액 별로다,-2,금액 별로다
금액 그다지,-1,금액 그다지
금액 괜찮다,1,금액 괜찮다
금액 아쉽다,-1,금액 아쉽다
빼다 금액,-1,빼다 금액
금액 별로,-2,금액 별로
금액 적당하다,1,금액 적당하다
금액 만족스럽다,2,금액 만족스럽다
금액 문제,-2,금액 문제
금액 나쁘다,-2,금액 나쁘다
금액 최악,-2,금액 최악
금액 실망,-1,금액 실망
금액 당황,-1,금액 당황
금액 착하다,2,금액 착하다
금액 감안,-1,금액 감안
금액 만족도,2,금액 만족도
비용 나가다,-2,비용 나가다
비용 높다,-1,비용 높다
따로 비용,-2,따로 비용
비용 괜찮다,1,비용 괜찮다
비용 아쉽다,-1,비용 아쉽다
빼다 비용,-1,빼다 비용
비용 별로,-2,비용 별로
비용 적당하다,1,비용 적당하다
비용 만족스럽다,2,비용 만족스럽다
비용 문제,-2,비용 문제
비용 나쁘다,-2,비용 나쁘다
비용 최악,-2,비용 최악
비용 실망,-1,비용 실망
비용 당황,-1,비용 당황
비용 착하다,2,비용 착하다
비용 감안,-1,비용 감안
비용 만족도,2,비용 만족도
비용 좋다,2,비용 좋다
좋다 비용,2,좋다 비용
비용 부담스럽다,-1,비용 부담스럽다
합리 비용,2,합리 비용
비용 합리,2,비용 합리
비용 불합리,-1,비용 불합리
불합리 비용,-1,불합리 비용
비용 비합리,-1,비용 비합리
비합리 비용,-1,비합리 비용
비용이 섭섭하다,-1,비용이 섭섭하다
비용 당혹,-1,비용 당혹
비용 아쉽다 ,-1,비용 아쉽다 
비용 무난하다,1,비용 무난하다
비용 고렇다,-1,비용 고렇다
비용 무던하다,1,비용 무던하다
비용 적절하다,1,비용 적절하다
비용 적합하다,2,비용 적합하다
비용 합당하다,2,비용 합당하다
비용 알맞다,1,비용 알맞다
비용 흐믓하다,2,비용 흐믓하다
비용 흡족하다,2,비용 흡족하다
비용 별로다,-2,비용 별로다
비용 그다지,-1,비용 그다지
비용 늘어나다,-1,비용 늘어나다
비용 늘다,-1,비용 늘다
비용 추가,-2,비용 추가
높다 비용 ,-1,높다 비용 
비싸다 비용,-1,비싸다 비용
비용 비싸다,-1,비용 비싸다
따로 비용 ,-2,따로 비용 
비용 따로,-2,비용 따로
비용 들어가다,-2,비용 들어가다
비용 쓰이다,-2,비용 쓰이다
비용 저렴하다,2,비용 저렴하다
