이름,점수,어근
비싸 보이다,2,비싸 보이다
갑싸다 보이다,-2,갑싸다 보이다
디자인 완벽하다,2,디자인 완벽하다
값지다 보이다,2,값지다 보이다
고급지다 보이다,2,고급지다 보이다
여유 롭다,2,여유 롭다
저렴해 보이다,-2,저렴해 보이다
싸다 티,-2,싸다 티
화면 그대로,1,화면 그대로
화면과 같은,1,화면과 같은
사진 그대로,1,사진 그대로
사진과 같은,1,사진과 같은
이미지 그대로,1,이미지 그대로
사진 똑같다,1,사진 똑같다
화면 똑같다,1,화면 똑같다
사진 다르다,-2,사진 다르다
화면 다르다,-2,화면 다르다
기대 같아요,2,기대 같아요
기대한 그대로,2,기대한 그대로
너무 밝다,-1,너무 밝다
많이 밝다,-1,많이 밝다
너무 어둡다,-1,너무 어둡다
많이 어둡다,-1,많이 어둡다
엄청 화,-2,엄청 화
엄청 쁘네,2,엄청 쁘네
안 쁘네,-2,안 쁘네
디자인 별로,-2,디자인 별로
따로 놀다,-2,따로 놀다
실물 영접,2,실물 영접
실물 싸다,-2,실물 싸다
실물 깡패,2,실물 깡패
망한 느낌,-2,망한 느낌
별로 느낌,-1,별로 느낌
느낌 아니다,-1,느낌 아니다
느낌 이상하다,-1,느낌 이상하다
느낌 별로,-1,느낌 별로
사이즈 여유,2,사이즈 여유
디자인 좋다,2,디자인 좋다
디자인 괜찮다,1,디자인 괜찮다
색상 괜찮다,1,색상 괜찮다
색깔 괜찮다,1,색깔 괜찮다
색감 괜찮다,1,색감 괜찮다
색상 아니다,-1,색상 아니다
색깔 아니다,-1,색깔 아니다
색감 아니다,-1,색감 아니다
디자인 그렇다,-1,디자인 그렇다
사이즈 맞다,2,사이즈 맞다
사이즈 아쉽다,-2,사이즈 아쉽다
색상 아쉽다,-1,색상 아쉽다
색깔 아쉽다,-1,색깔 아쉽다
색감 아쉽다,-1,색감 아쉽다
크기 적당하다,1,크기 적당하다
색상 적당하다,1,색상 적당하다
색깔 적당하다,1,색깔 적당하다
색감 적당하다,1,색감 적당하다
사이즈 적당하다,1,사이즈 적당하다
디자인 좋아하다,2,디자인 좋아하다
디자인 만족스럽다,2,디자인 만족스럽다
비싸다 보이다,2,비싸다 보이다
디자인 나쁘다,-2,디자인 나쁘다
색상 달라,-1,색상 달라
색깔 달라,-1,색깔 달라
색감 달라,-1,색감 달라
색상 다르다,-1,색상 다르다
색깔 다르다,-1,색깔 다르다
색감 다르다,-1,색감 다르다
디자인 최악,-2,디자인 최악
디자인 실패하다,-2,디자인 실패하다
디자인 훌륭하다,2,디자인 훌륭하다
색감 별로,-2,색감 별로
색감 그렇다,-1,색감 그렇다
색감 좋아하다,2,색감 좋아하다
색감 만족스럽다,2,색감 만족스럽다
색감 나쁘다,-2,색감 나쁘다
색감 최악,-2,색감 최악
색감 실패하다,-2,색감 실패하다
색감 훌륭하다,2,색감 훌륭하다
색상 별로,-2,색상 별로
색상 그렇다,-1,색상 그렇다
색상 좋아하다,2,색상 좋아하다
색상 만족스럽다,2,색상 만족스럽다
색상 나쁘다,-2,색상 나쁘다
색상 최악,-2,색상 최악
색상 실패하다,-2,색상 실패하다
색상 훌륭하다,2,색상 훌륭하다
색깔 별로,-2,색깔 별로
색깔 그렇다,-1,색깔 그렇다
색깔 좋아하다,2,색깔 좋아하다
색깔 만족스럽다,2,색깔 만족스럽다
색깔 나쁘다,-2,색깔 나쁘다
색깔 최악,-2,색깔 최악
색깔 실패하다,-2,색깔 실패하다
색깔 훌륭하다,2,색깔 훌륭하다
색상 좋다,2,색상 좋다
색깔 좋다,2,색깔 좋다
색감 좋다,2,색감 좋다
