이름,점수,어근
기사 좋다,1,기사 좋다
기사 괜찮다,1,기사 괜찮다
기사 아니다,-2,기사 아니다
기사 아쉽다,-1,기사 아쉽다
기사 빼다,-1,기사 빼다
기사 별로,-1,기사 별로
기사 감동하다,2,기사 감동하다
기사 감격하다,2,기사 감격하다
기사 만족스럽다,2,기사 만족스럽다
기사 만족하다,2,기사 만족하다
기사 문제,-1,기사 문제
기사 나쁘다,-2,기사 나쁘다
기사 차이,-1,기사 차이
기사 가능하다,1,기사 가능하다
기사 감안,-1,기사 감안
기사 최악,-2,기사 최악
기사 만족도,2,기사 만족도
기사 관리,-2,기사 관리
기사 비추다,-2,기사 비추다
기사 실망,-1,기사 실망
기사 당황,-1,기사 당황
센터 좋다,1,센터 좋다
센터 괜찮다,1,센터 괜찮다
센터 아니다,-2,센터 아니다
센터 아쉽다,-1,센터 아쉽다
센터 빼다,-1,센터 빼다
센터 별로,-1,센터 별로
센터 감동하다,2,센터 감동하다
센터 감격하다,2,센터 감격하다
센터 만족스럽다,2,센터 만족스럽다
센터 만족하다,2,센터 만족하다
센터 문제,-1,센터 문제
센터 나쁘다,-2,센터 나쁘다
센터 차이,-1,센터 차이
센터 가능하다,1,센터 가능하다
센터 감안,-1,센터 감안
센터 최악,-2,센터 최악
센터 만족도,2,센터 만족도
센터 관리,-2,센터 관리
센터 비추다,-2,센터 비추다
센터 실망,-1,센터 실망
센터 당황,-1,센터 당황
직원 좋다,1,직원 좋다
직원 괜찮다,1,직원 괜찮다
직원 아니다,-2,직원 아니다
직원 아쉽다,-1,직원 아쉽다
직원 빼다,-1,직원 빼다
직원 별로,-1,직원 별로
직원 감동하다,2,직원 감동하다
직원 감격하다,2,직원 감격하다
직원 만족스럽다,2,직원 만족스럽다
직원 만족하다,2,직원 만족하다
직원 문제,-1,직원 문제
직원 나쁘다,-2,직원 나쁘다
직원 차이,-1,직원 차이
직원 가능하다,1,직원 가능하다
직원 감안,-1,직원 감안
직원 최악,-2,직원 최악
직원 만족도,2,직원 만족도
직원 관리,-2,직원 관리
직원 비추다,-2,직원 비추다
직원 실망,-1,직원 실망
직원 당황,-1,직원 당황
상담사 좋다,1,상담사 좋다
상담사 괜찮다,1,상담사 괜찮다
상담사 아니다,-2,상담사 아니다
상담사 아쉽다,-1,상담사 아쉽다
상담사 빼다,-1,상담사 빼다
상담사 별로,-1,상담사 별로
상담사 감동하다,2,상담사 감동하다
상담사 감격하다,2,상담사 감격하다
상담사 만족스럽다,2,상담사 만족스럽다
상담사 만족하다,2,상담사 만족하다
상담사 문제,-1,상담사 문제
상담사 나쁘다,-2,상담사 나쁘다
상담사 차이,-1,상담사 차이
상담사 가능하다,1,상담사 가능하다
상담사 감안,-1,상담사 감안
상담사 최악,-2,상담사 최악
상담사 만족도,2,상담사 만족도
상담사 관리,-2,상담사 관리
상담사 비추다,-2,상담사 비추다
상담사 실망,-1,상담사 실망
상담사 당황,-1,상담사 당황
서비스 좋다,1,서비스 좋다
서비스 괜찮다,1,서비스 괜찮다
서비스 아니다,-2,서비스 아니다
서비스 아쉽다,-1,서비스 아쉽다
서비스 빼다,-1,서비스 빼다
서비스 별로,-1,서비스 별로
서비스 감동하다,2,서비스 감동하다
서비스 감격하다,2,서비스 감격하다
서비스 만족스럽다,2,서비스 만족스럽다
서비스 만족하다,2,서비스 만족하다
서비스 문제,-1,서비스 문제
서비스 나쁘다,-2,서비스 나쁘다
서비스 차이,-1,서비스 차이
서비스 가능하다,1,서비스 가능하다
서비스 감안,-1,서비스 감안
서비스 최악,-2,서비스 최악
서비스 만족도,2,서비스 만족도
서비스 관리,-2,서비스 관리
서비스 비추다,-2,서비스 비추다
서비스 실망,-1,서비스 실망
서비스 당황,-1,서비스 당황
배송 좋다,1,배송 좋다
서비스 뛰어나다,2,서비스 뛰어나다
배송 뛰어나다,2,배송 뛰어나다
시스템 고치다,-1,시스템 고치다
포장 안전하다,2,포장 안전하다
배송 안전하다,2,배송 안전하다
배송 매끄럽다,2,배송 매끄럽다
설치 매끄럽다,2,설치 매끄럽다
시스템 매끄럽다,2,시스템 매끄럽다
시스템 장애,-2,시스템 장애
시스템 고장,-2,시스템 고장
배송 틀어지다,-2,배송 틀어지다
배송 완벽하다,2,배송 완벽하다
기사 완벽하다,2,기사 완벽하다
설치 완벽하다,2,설치 완벽하다
서비스 완벽하다,2,서비스 완벽하다
시스템 완벽하다,2,시스템 완벽하다
배송 개선,-1,배송 개선
서비스 개선,-1,서비스 개선
시스템 개선,-1,시스템 개선
시스템 문제,-1,시스템 문제
택배 없다,-2,택배 없다
배송 괜찮다,1,배송 괜찮다
배송 아니다,-2,배송 아니다
배송 아쉽다,-1,배송 아쉽다
고생 많다,1,고생 많다
오지 않다,-2,오지 않다
배송 빼다,-1,배송 빼다
배송 별로,-1,배송 별로
배송 감동하다,2,배송 감동하다
배송 감격하다,2,배송 감격하다
예고 없이,-2,예고 없이
연락 없이,-2,연락 없이
배송 만족스럽다,2,배송 만족스럽다
배송 만족하다,2,배송 만족하다
배송 문제,-1,배송 문제
배송 나쁘다,-2,배송 나쁘다
해결 안,-2,해결 안
지키다 않다,-1,지키다 않다
못 지키다,-1,못 지키다
속 터지다,-2,속 터지다
안내 없이,-2,안내 없이
성의 없이,-2,성의 없이
말도 없이,-2,말도 없이
문자 없이,-2,문자 없이
전화 없이,-2,전화 없이
싸가지 없다,-2,싸가지 없다
예의 없다,-2,예의 없다
매너 없다,-2,매너 없다
예절 없다,-2,예절 없다
대응 없다,-2,대응 없다
배송 차이,-1,배송 차이
배송 가능하다,1,배송 가능하다
배송 감안,-1,배송 감안
연락 힘들다,-1,연락 힘들다
연락 힘겹다,-2,연락 힘겹다
연락 어렵다,-2,연락 어렵다
배송 최악,-2,배송 최악
소통 안되다,-1,소통 안되다
배송 만족도,2,배송 만족도
의사소통 안되다,-1,의사소통 안되다
배송 관리,-2,배송 관리
따로 오다,-1,따로 오다
벌써 도착하다,2,벌써 도착하다
벌써 오다,2,벌써 오다
안 늦다,1,안 늦다
안 빠르다,-1,안 빠르다
안 오다,-2,안 오다
안 오래,1,안 오래
오래 안,1,오래 안
않다 살피다,-2,않다 살피다
안 지키다,-2,안 지키다
안 해주다,-2,안 해주다
설명 필요하다,-1,설명 필요하다
표시 필요하다,-1,표시 필요하다
표기 필요하다,-1,표기 필요하다
설치 필요하다,-1,설치 필요하다
도움 필요,-1,도움 필요
배송 비추다,-2,배송 비추다
신경 필요하다,-1,신경 필요하다
수고 많다,1,수고 많다
처리 안,-1,처리 안
배송 실망,-1,배송 실망
배송 당황,-1,배송 당황
자세하다 않다,-1,자세하다 않다
꼼꼼하다 않다,-1,꼼꼼하다 않다
상세하다 않다,-1,상세하다 않다
